vessel,type,temper,context,surf.treat,weight,lip.length,wall.thick,lip.thick
434-1,Jar,shell,Pit 434,slipped,25.4,14.39,9.51,10.95
434-2,Jar,shell,Pit 434,slipped,18.5,12.28,6.55,6.27
434-3,Jar,shell,Pit 434,slipped,57.1,15.41,7.69,6.41
434-4,Jar,shell,Pit 434,slipped,7,11.67,6.65,5.94
434-5,Jar,shell,Pit 434,burnished,20.8,8.1,4.5,3.17
434-6,Jar,shell,Pit 434,burnished,40.5,14.06,7.86,6.47
434-7,Jar,shell,Pit 434,burnished,34.5,11.35,7.68,3.83
434-8,Jar,shell,Pit 434,slipped,193.7,9.79,6.93,5.95
434-9,Jar,shell,Pit 434,burnished,3.2,7.91,5.7,3.76
434-10,Jar,shell,Pit 434,burnished,68.6,8.95,4.62,4.06
434-11,Jar,shell,Pit 434,burnished,3.1,7.87,5.26,3.75
434-12,Jar,shell,Pit 434,burnished,24.4,5.75,3.63,3.76
434-13,Jar,shell,Pit 434,burnished,30,10.11,7.87,7.17
434-14,Jar,shell,Pit 434,slipped,11.7,11.6,7.35,7.7
434-15,Jar,shell,Pit 434,slipped,6.9,9.6,7.36,5.3
434-16,Jar,shell,Pit 434,slipped,7.5,7.55,5.33,3.93
434-17,Jar,shell,Pit 434,slipped,4,7.02,5.6,9.04
434-18,Jar,shell,Pit 434,slipped,8.9,7.77,4.23,4.25
434-20,Jar,grog,Pit 434,burnished,13.7,6.37,5.19,13.7
434-22,Bowl,shell,Pit 434,slipped,177.2,10.72,7.96,9.41
434-23,Bowl,shell,Pit 434,slipped,244.3,9.86,8.94,9.67
434-25,Jar,shell,Pit 434,slipped,9,10.1,6.39,4.87
434-26,Jar,shell,Pit 434,slipped,3.3,8.5,5.91,3.74
23-1,Jar,shell,Structure 23,slipped,259,11.9,5.87,6.58
23-2,Jar,shell,Structure 23,burnished,9.1,9.62,7.06,7.98
23-3,Jar,shell,Structure 23,burnished,6.5,8.17,6.21,4.52
23-4,Jar,shell,Structure 23,burnished,8.3,8.58,4.58,3.5
23-5,Jar,shell,Structure 23,burnished,8.9,8.98,6.52,6.4
23-6,Jar,shell,Structure 23,slipped,16.2,10.05,8.73,7.23
23-8,Jar,shell,Structure 23,slipped,14.8,8.38,8.58,9.23
